2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:42,308.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:15', 152.4)
2024-06-01 21:32:42,341.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:10', 153.4)
2024-06-01 21:32:42,370.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:15', 153.4)
2024-06-01 21:32:42,404.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:10', 154.5)
2024-06-01 21:32:42,437.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:15', 154.5)
2024-06-01 21:32:42,471.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:10', 155.6)
2024-06-01 21:32:42,502.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:15', 155.6)
2024-06-01 21:32:42,538.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:10', 156.5)
2024-06-01 21:32:42,575.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:15', 156.5)
2024-06-01 21:32:42,610.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:10', 157.8)
2024-06-01 21:32:42,655.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:15', 157.8)
2024-06-01 21:32:42,681.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:10', 158.8)
2024-06-01 21:32:42,708.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:15', 158.8)
2024-06-01 21:32:42,734.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:10', 159.9)
2024-06-01 21:32:42,760.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:15', 159.9)
2024-06-01 21:32:42,788.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:10', 160.7)
2024-06-01 21:32:42,821.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:15', 160.7)
2024-06-01 21:32:42,849.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:10', 161.9)
2024-06-01 21:32:42,883.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:15', 161.9)
2024-06-01 21:32:42,915.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:10', 163.1)
2024-06-01 21:32:42,951.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:15', 163.1)
2024-06-01 21:32:43,007.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:10', 164.3)
2024-06-01 21:32:43,039.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:15', 164.3)
2024-06-01 21:32:43,064.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:10', 165.6)
2024-06-01 21:32:43,089.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:15', 165.6)
2024-06-01 21:32:43,115.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:10', 166.7)
2024-06-01 21:32:43,148.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:15', 166.7)
2024-06-01 21:32:43,179.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:10', 167.8)
2024-06-01 21:32:43,210.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:15', 167.8)
2024-06-01 21:32:43,248.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:10', 168.8)
2024-06-01 21:32:43,279.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:15', 168.8)
2024-06-01 21:32:43,315.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:10', 170.2)
2024-06-01 21:32:43,347.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:15', 170.2)
2024-06-01 21:32:43,382.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:10', 171.7)
2024-06-01 21:32:43,418.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:15', 171.7)
2024-06-01 21:32:43,453.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:10', 173.3)
2024-06-01 21:32:43,490.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:15', 173.3)
2024-06-01 21:32:43,528.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:10', 174.6)
2024-06-01 21:32:43,710.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:15', 174.6)
2024-06-01 21:32:43,735.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:10', 175.5)
2024-06-01 21:32:43,759.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:15', 175.5)
2024-06-01 21:32:43,787.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:10', 176.8)
2024-06-01 21:32:43,816.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:15', 176.8)
2024-06-01 21:32:43,849.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:10', 177.8)
2024-06-01 21:32:43,880.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:15', 177.8)
2024-06-01 21:32:43,914.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:10', 178.9)
2024-06-01 21:32:43,948.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:15', 178.9)
2024-06-01 21:32:43,983.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:10', 180.3)
2024-06-01 21:32:44,019.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:15', 180.3)
2024-06-01 21:32:44,065.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:10', 181.4)
2024-06-01 21:32:44,104.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:15', 181.4)
2024-06-01 21:32:44,143.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:10', 182.6)
2024-06-01 21:32:44,184.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:15', 182.6)
2024-06-01 21:32:44,230.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:10', 183.9)
2024-06-01 21:32:44,255.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:15', 183.9)
2024-06-01 21:32:44,281.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:10', 184.8)
2024-06-01 21:32:44,311.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:15', 184.8)
2024-06-01 21:32:44,340.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:10', 186.0)
2024-06-01 21:32:44,372.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:15', 186.0)
2024-06-01 21:32:44,404.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:10', 187.1)
2024-06-01 21:32:44,437.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:15', 187.1)
2024-06-01 21:32:44,472.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:10', 211.9)
2024-06-01 21:32:44,509.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:15', 211.9)
